"filename", "language", "Markdown", "XML", "Java", "CSS", "comment", "blank", "total"
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\libraries\lib.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\misc.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\runConfigurations.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\uiDesigner.xml", "XML", 0, 124, 0, 0, 0, 0, 124
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\README.md", "Markdown", 10, 0, 0, 0, 0, 9, 19
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.VSCodeCounter\2021-12-10_18-36-14\details.md", "Markdown", 101, 0, 0, 0, 0, 6, 107
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.VSCodeCounter\2021-12-10_18-36-14\results.md", "Markdown", 52, 0, 0, 0, 0, 7, 59
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\libraries\lib.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\misc.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\runConfigurations.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"f:\2Study\2Nam2\CS\OOP\Bomberman\bomber10\bin\.idea\uiDesigner.xml", "XML", 0, 124, 0, 0, 0, 0, 124
